Nodes,Percentagem,Edges,Perc_k,k,Result,Basic_Operations,Time,Memory
10,12.5,6,12.5,1,True,13,2.09808349609375e-05,0.0
10,12.5,6,25,2,True,13,1.811981201171875e-05,0.0
10,12.5,6,50,5,False,13,1.6927719116210938e-05,0.0
10,12.5,6,75,7,False,13,1.7881393432617188e-05,0.0
10,25,11,12.5,1,True,21,2.5987625122070312e-05,0.0
10,25,11,25,2,True,21,2.3126602172851562e-05,0.0
10,25,11,50,5,False,21,2.574920654296875e-05,0.0
10,25,11,75,7,False,21,2.6941299438476562e-05,0.0
10,50,22,12.5,1,True,33,4.100799560546875e-05,0.0
10,50,22,25,2,True,33,3.409385681152344e-05,0.0
10,50,22,50,5,False,33,3.409385681152344e-05,0.0
10,50,22,75,7,False,33,3.361701965332031e-05,0.0
10,75,34,12.5,1,True,56,5.888938903808594e-05,0.0
10,75,34,25,2,False,56,5.91278076171875e-05,0.0
10,75,34,50,5,True,56,5.1975250244140625e-05,0.0
10,75,34,75,7,False,56,5.125999450683594e-05,0.0
11,12.5,7,12.5,1,True,16,2.7894973754882812e-05,0.0
11,12.5,7,25,2,True,16,2.09808349609375e-05,0.0
11,12.5,7,50,5,False,16,1.8835067749023438e-05,0.0
11,12.5,7,75,8,False,16,2.002716064453125e-05,0.0
11,25,14,12.5,1,True,27,3.3855438232421875e-05,0.0
11,25,14,25,2,True,27,2.8848648071289062e-05,0.0
11,25,14,50,5,False,27,2.9087066650390625e-05,0.0
11,25,14,75,8,False,27,3.0994415283203125e-05,0.0
11,50,28,12.5,1,True,34,4.57763671875e-05,0.0
11,50,28,25,2,True,34,3.790855407714844e-05,0.0
11,50,28,50,5,False,34,4.1961669921875e-05,0.0
11,50,28,75,8,False,34,4.00543212890625e-05,0.0
11,75,41,12.5,1,True,54,5.817413330078125e-05,0.0
11,75,41,25,2,False,54,5.7220458984375e-05,0.0
11,75,41,50,5,True,54,5.1975250244140625e-05,0.0
11,75,41,75,8,False,54,5.173683166503906e-05,0.0
12,12.5,8,12.5,1,True,18,2.7894973754882812e-05,0.0
12,12.5,8,25,3,False,18,2.288818359375e-05,0.0
12,12.5,8,50,6,False,18,2.193450927734375e-05,0.0
12,12.5,8,75,9,False,18,2.002716064453125e-05,0.0
12,25,16,12.5,1,True,29,3.409385681152344e-05,0.0
12,25,16,25,3,True,29,3.0994415283203125e-05,0.0
12,25,16,50,6,False,29,3.314018249511719e-05,0.0
12,25,16,75,9,False,29,2.9087066650390625e-05,0.0
12,50,33,12.5,1,True,47,5.1975250244140625e-05,0.0
12,50,33,25,3,True,47,4.57763671875e-05,0.0
