+-----------------+------+-----------------+-------+----+----------------+------------------+------------------------+--------------+
| Number of Nodes |  %   | Number of Edges | (%) k | k  | Clique size k? | Basic Operations |          Time          |    Memory    |
+-----------------+------+-----------------+-------+----+----------------+------------------+------------------------+--------------+
|        10       | 12.5 |        6        |  12.5 | 1  |      True      |        0         |  8.96453857421875e-05  |  0.0078125   |
|        10       | 12.5 |        6        |   25  | 2  |      True      |        0         | 7.510185241699219e-05  |     0.0      |
|        10       | 12.5 |        6        |   50  | 5  |     False      |        0         |   5.000347852706909    |  16.8515625  |
|        10       | 12.5 |        6        |   75  | 7  |     False      |        0         |   5.000266075134277    |  1.69921875  |
|        10       |  25  |        11       |  12.5 | 1  |      True      |        0         | 0.0001010894775390625  |     0.0      |
|        10       |  25  |        11       |   25  | 2  |      True      |        0         | 2.2172927856445312e-05 |     0.0      |
|        10       |  25  |        11       |   50  | 5  |     False      |        0         |   5.000170946121216    |  5.8828125   |
|        10       |  25  |        11       |   75  | 7  |     False      |        0         |   5.000136852264404    |  1.3203125   |
|        10       |  50  |        22       |  12.5 | 1  |      True      |        0         | 8.082389831542969e-05  |     0.0      |
|        10       |  50  |        22       |   25  | 2  |      True      |        0         | 7.700920104980469e-05  |     0.0      |
|        10       |  50  |        22       |   50  | 5  |     False      |        0         |   5.000161647796631    |   2.890625   |
|        10       |  50  |        22       |   75  | 7  |     False      |        0         |   5.000216007232666    |  0.08984375  |
|        10       |  75  |        34       |  12.5 | 1  |      True      |        0         | 8.988380432128906e-05  |     0.0      |
|        10       |  75  |        34       |   25  | 2  |      True      |        0         | 2.6226043701171875e-05 |     0.0      |
|        10       |  75  |        34       |   50  | 5  |      True      |        0         |  0.001911163330078125  |     0.0      |
|        10       |  75  |        34       |   75  | 7  |     False      |        0         |   5.0001020431518555   |  0.6640625   |
|        11       | 12.5 |        7        |  12.5 | 1  |      True      |        0         | 5.602836608886719e-05  |     0.0      |
|        11       | 12.5 |        7        |   25  | 2  |      True      |        0         | 2.9087066650390625e-05 |     0.0      |
|        11       | 12.5 |        7        |   50  | 5  |     False      |        0         |   5.000166177749634    |  0.0859375   |
|        11       | 12.5 |        7        |   75  | 8  |     False      |        0         |   5.000249862670898    |     2.0      |
|        11       |  25  |        14       |  12.5 | 1  |      True      |        0         | 0.00011610984802246094 |     0.0      |
|        11       |  25  |        14       |   25  | 2  |      True      |        0         | 3.600120544433594e-05  |     0.0      |
|        11       |  25  |        14       |   50  | 5  |     False      |        0         |   5.0001420974731445   |  1.3828125   |
|        11       |  25  |        14       |   75  | 8  |     False      |        0         |   5.000223875045776    |  1.85546875  |
|        11       |  50  |        28       |  12.5 | 1  |      True      |        0         | 0.00010585784912109375 |     0.0      |
|        11       |  50  |        28       |   25  | 2  |      True      |        0         |  2.09808349609375e-05  |     0.0      |
|        11       |  50  |        28       |   50  | 5  |     False      |        0         |   5.000131130218506    |  0.07421875  |
|        11       |  50  |        28       |   75  | 8  |     False      |        0         |   5.000239849090576    |  2.08984375  |
|        11       |  75  |        41       |  12.5 | 1  |      True      |        0         | 0.00012803077697753906 |     0.0      |
|        11       |  75  |        41       |   25  | 2  |      True      |        0         | 3.0994415283203125e-05 |     0.0      |
|        11       |  75  |        41       |   50  | 5  |      True      |        0         | 6.818771362304688e-05  |     0.0      |
|        11       |  75  |        41       |   75  | 8  |     False      |        0         |   5.000118017196655    |  2.55859375  |
|        12       | 12.5 |        8        |  12.5 | 1  |      True      |        0         | 9.083747863769531e-05  |     0.0      |
|        12       | 12.5 |        8        |   25  | 3  |     False      |        0         |   5.000143766403198    |   6.28125    |
|        12       | 12.5 |        8        |   50  | 6  |     False      |        0         |   5.000204801559448    |  0.15234375  |
|        12       | 12.5 |        8        |   75  | 9  |     False      |        0         |   5.000260829925537    |  0.0703125   |
|        12       |  25  |        16       |  12.5 | 1  |      True      |        0         | 0.00011801719665527344 |     0.0      |
|        12       |  25  |        16       |   25  | 3  |      True      |        0         | 0.00031685829162597656 |     0.0      |
|        12       |  25  |        16       |   50  | 6  |     False      |        0         |    5.0001220703125     |  0.05859375  |
