Nodes,Percentagem,Edges,Perc_k,k,Result,Basic_Operations,Time,Memory
10,12.5,6,12.5,1,True,1,0.0004448890686035156,0.0
10,12.5,6,25,2,True,5,3.504753112792969e-05,0.0
10,12.5,6,50,5,False,1390513,5.000085115432739,1.31640625
10,12.5,6,75,7,False,1034546,5.000139951705933,1.65234375
10,25,11,12.5,1,True,1,3.0040740966796875e-05,0.0
10,25,11,25,2,True,3,2.7894973754882812e-05,0.0
10,25,11,50,5,False,1352827,5.000062942504883,13.6640625
10,25,11,75,7,False,1038966,5.000136852264404,38.4609375
10,50,22,12.5,1,True,1,3.409385681152344e-05,0.0
10,50,22,25,2,True,5,3.314018249511719e-05,0.0
10,50,22,50,5,False,1265218,5.000172138214111,2.08984375
10,50,22,75,7,False,975921,5.000172138214111,0.2421875
10,75,34,12.5,1,True,1,5.364418029785156e-05,0.0
10,75,34,25,2,True,3,2.9802322387695312e-05,0.0
10,75,34,50,5,False,1113575,5.000061988830566,11.859375
10,75,34,75,7,False,884064,5.000094175338745,5.8203125
11,12.5,7,12.5,1,True,1,2.8133392333984375e-05,0.0
11,12.5,7,25,2,True,2,2.5033950805664062e-05,0.0
11,12.5,7,50,5,False,1374744,5.0001490116119385,2.2265625
11,12.5,7,75,8,False,965728,5.0001678466796875,2.70703125
11,25,14,12.5,1,True,1,3.314018249511719e-05,0.0
11,25,14,25,2,True,6,3.504753112792969e-05,0.0
11,25,14,50,5,False,1334152,5.000130891799927,1.921875
11,25,14,75,8,False,954832,5.000180959701538,1.2890625
11,50,28,12.5,1,True,1,5.1975250244140625e-05,0.0
11,50,28,25,2,True,10,5.1975250244140625e-05,0.0
11,50,28,50,5,False,1162046,5.000141859054565,0.9609375
11,50,28,75,8,False,867441,5.000069856643677,0.796875
11,75,41,12.5,1,True,1,3.0994415283203125e-05,0.0
11,75,41,25,2,True,1,2.193450927734375e-05,0.0
11,75,41,50,5,False,1087763,5.000054597854614,0.4609375
11,75,41,75,8,False,826426,5.000076055526733,1.4609375
12,12.5,8,12.5,1,True,1,2.7894973754882812e-05,0.0
12,12.5,8,25,3,False,1679839,5.000135898590088,1.66796875
12,12.5,8,50,6,False,1117904,5.0000691413879395,7.38671875
12,12.5,8,75,9,False,899831,5.000124931335449,13.34375
12,25,16,12.5,1,True,1,3.0994415283203125e-05,0.0
12,25,16,25,3,True,96,0.0003190040588378906,0.0
12,25,16,50,6,False,1096038,5.0000669956207275,2.8828125
12,25,16,75,9,False,893891,5.000135898590088,1.125
12,50,33,12.5,1,True,1,7.891654968261719e-05,0.0
12,50,33,25,3,True,10,5.817413330078125e-05,0.0
12,50,33,50,6,False,968760,5.000152826309204,2.62109375
12,50,33,75,9,False,802511,5.0000901222229,1.3828125
12,75,50,12.5,1,True,1,3.1948089599609375e-05,0.0
12,75,50,25,3,True,5,4.1961669921875e-05,0.0
12,75,50,50,6,False,897827,5.0000550746917725,0.07421875
12,75,50,75,9,False,753668,5.000140190124512,1.61328125
